Device,Test Name,Test Status,Message(s),Test description,Test category
campus-spine2,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
campus-spine2,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
campus-spine2,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
campus-spine2,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
campus-spine2,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
campus-spine2,VerifyOSPFMaxLSA,success,,Verifies all OSPF instances did not cross the maximum LSA threshold.,OSPF
campus-spine2,VerifyOSPFNeighborState,success,,Verifies all OSPF neighbors are in FULL state.,OSPF
campus-spine2,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
campus-spine2,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
campus-spine2,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
campus-spine2,VerifyCoredump,success,,Verifies there are no core dump files.,System
campus-spine2,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
campus-spine2,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
campus-spine2,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
campus-spine2,VerifyNTP,success,,Verifies if NTP is synchronised.,System
campus-spine2,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
